0,1529397062.52,0
0,1529397062.61,0.0899999142
0,1529397062.8,0.2799999714
0,1529397063.01,0.4900000095
0,1529397063.13,0.6100001335
136,1529397063.19,0.6700000763
201,1529397063.27,0.75
223,1529397063.34,0.8199999332
231,1529397063.44,0.9200000763
231,1529397063.51,0.9900000095
230,1529397063.58,1.0599999428
227,1529397063.71,1.1900000572
227,1529397063.78,1.2599999905
233,1529397063.87,1.3499999046
222,1529397063.94,1.4200000763
233,1529397064.01,1.4900000095
231,1529397064.09,1.5699999332
227,1529397064.16,1.6400001049
207,1529397064.23,1.7100000381
210,1529397064.3,1.7799999714
162,1529397064.37,1.8499999046
212,1529397064.44,1.9200000763
204,1529397064.51,1.9900000095
204,1529397064.58,2.0599999428
197,1529397064.65,2.1300001144
200,1529397064.73,2.2100000381
195,1529397064.8,2.2799999714
191,1529397064.87,2.3499999046
186,1529397064.94,2.4200000763
181,1529397065.02,2.5
177,1529397065.09,2.5699999332
177,1529397065.16,2.6400001049
181,1529397065.23,2.7100000381
170,1529397065.29,2.7699999809
179,1529397065.36,2.8399999142
184,1529397065.44,2.9200000763
176,1529397065.51,2.9900000095
169,1529397065.58,3.0599999428
0,1529397065.65,3.1300001144
0,1529397065.72,3.2000000477
0,1529397065.8,3.2799999714
0,1529397065.87,3.3499999046
0,1529397065.94,3.4200000763
0,1529397066.01,3.4900000095
0,1529397066.08,3.5599999428
0,1529397066.15,3.6300001144
0,1529397066.22,3.7000000477
0,1529397066.29,3.7699999809
0,1529397066.36,3.8399999142
0,1529397066.43,3.9100000858
0,1529397066.5,3.9800000191
0,1529397066.57,4.0499999523
0,1529397066.64,4.120000124
0,1529397066.71,4.1900000572
0,1529397066.78,4.2599999905
0,1529397066.86,4.3399999142
0,1529397066.93,4.4100000858
0,1529397067,4.4800000191
0,1529397067.07,4.5499999523
0,1529397067.15,4.6300001144
0,1529397067.22,4.7000000477
0,1529397067.29,4.7699999809
0,1529397067.36,4.8399999142
0,1529397067.43,4.9100000858
0,1529397067.5,4.9800000191
0,1529397067.57,5.0499999523
0,1529397067.64,5.120000124
0,1529397067.72,5.2000000477
0,1529397067.79,5.2699999809
0,1529397067.87,5.3499999046
0,1529397067.94,5.4200000763
211,1529397068.01,5.4900000095
238,1529397068.08,5.5599999428
164,1529397068.16,5.6400001049
175,1529397068.23,5.7100000381
207,1529397068.3,5.7799999714
206,1529397068.37,5.8499999046
236,1529397068.45,5.9300000668
174,1529397068.52,6
197,1529397068.59,6.0699999332
196,1529397068.66,6.1400001049
239,1529397068.73,6.2100000381
235,1529397068.8,6.2799999714
239,1529397068.88,6.3600001335
220,1529397068.95,6.4300000668
231,1529397069.02,6.5
229,1529397069.09,6.5699999332
228,1529397069.16,6.6400001049
230,1529397069.23,6.7100000381
234,1529397069.3,6.7799999714
234,1529397069.37,6.8499999046
236,1529397069.44,6.9200000763
155,1529397069.51,6.9900000095
233,1529397069.58,7.0599999428
211,1529397069.65,7.1300001144
202,1529397069.72,7.2000000477
211,1529397069.79,7.2699999809
197,1529397069.86,7.3399999142
208,1529397069.93,7.4100000858
205,1529397070,7.4800000191
201,1529397070.07,7.5499999523
195,1529397070.14,7.620000124
188,1529397070.21,7.6900000572
182,1529397070.28,7.7599999905
173,1529397070.35,7.8299999237
161,1529397070.43,7.9100000858
137,1529397070.5,7.9800000191
132,1529397070.57,8.0499999523
0,1529397070.64,8.120000124
0,1529397070.71,8.1900000572
0,1529397070.78,8.2599999905
0,1529397070.85,8.3299999237
0,1529397070.91,8.3900001049
0,1529397070.98,8.4600000381
0,1529397071.05,8.5299999714
0,1529397071.12,8.5999999046
0,1529397071.18,8.6600000858
0,1529397071.26,8.7400000095
0,1529397071.32,8.7999999523
0,1529397071.39,8.870000124
