Init Queue
[INFO] Init Cam
26.5879631042 7.85899162292 5.79905509949
58.3550930023 6.55579566956 4.75883483887
46.9439029694 6.02698326111 25.3851413727
66.0450458527 6.04701042175 16.6988372803
74.1350650787 5.96189498901 14.5480632782
88.2649421692 6.1411857605 26.6768932343
76.3518810272 32.4399471283 6.44207000732
80.4090499878 6.72507286072 17.7640914917
55.4029941559 6.24895095825 5.10501861572
29.4229984283 6.20102882385 5.23209571838
30.2650928497 6.07013702393 5.24210929871
29.3080806732 6.07895851135 5.10406494141
28.813123703 6.187915802 5.21516799927
29.7811031342 5.93090057373 5.5079460144
29.3951034546 6.0830116272 9.98401641846
29.2232036591 6.01816177368 2.57682800293
28.4769535065 6.18410110474 2.25496292114
27.4910926819 6.01696968079 2.11000442505
27.9569625854 6.12592697144 1.89805030823
28.9030075073 5.94401359558 2.40612030029
25.8848667145 6.23106956482 2.07495689392
22.439956665 6.05201721191 2.11095809937
26.0109901428 6.12998008728 2.1800994873
25.0442028046 6.14190101624 2.39896774292
23.7839221954 6.15215301514 2.92992591858
24.3680477142 6.35385513306 3.09777259827
21.7339992523 6.05297088623 2.80499458313
23.3340263367 6.11901283264 2.6319026947
23.7538814545 6.02507591248 2.5680065155
19.3660259247 6.62612915039 2.36892700195
23.3390331268 6.12497329712 2.37798690796
19.3598270416 5.94806671143 2.49600410461
21.723985672 6.2301158905 2.41899490356
19.9069976807 6.07395172119 2.2280216217
20.0479030609 6.02388381958 2.15315818787
24.0938663483 6.11400604248 2.27403640747
20.2639102936 6.17218017578 2.39586830139
24.3411064148 6.17408752441 2.38490104675
23.0431556702 6.14500045776 2.25281715393
23.4179496765 6.19697570801 2.14004516602
23.0460166931 6.0670375824 2.26497650146
23.3719348907 6.24895095825 2.29501724243
22.6678848267 6.07705116272 2.36487388611
23.1590270996 6.24299049377 2.44402885437
22.81498909 6.9739818573 2.30479240417
22.5160121918 6.37698173523 2.45690345764
23.3728885651 6.18505477905 2.37417221069
19.5081233978 6.01387023926 2.49099731445
19.9370384216 6.11996650696 2.07781791687
20.9579467773 6.04820251465 1.90401077271
20.4510688782 5.91921806335 2.02512741089
20.3990936279 6.11305236816 4.98604774475
28.5370349884 6.21914863586 5.18298149109
24.6620178223 5.9769153595 5.54490089417
25.4828929901 6.04891777039 5.79619407654
25.0890254974 6.14309310913 5.54394721985
24.8692035675 6.15882873535 5.68079948425
27.3468494415 6.12902641296 5.38396835327
24.9710083008 6.01506233215 5.60903549194
25.2220630646 6.23917579651 5.45811653137
20.1969146729 6.04605674744 5.70511817932
25.0558853149 6.24203681946 5.12790679932
24.3740081787 6.09111785889 5.450963974
24.8141288757 6.12497329712 5.61690330505
25.3438949585 6.20698928833 5.51295280457
25.3918170929 6.14190101624 5.41305541992
25.2380371094 6.06489181519 5.50699234009
25.3820419312 6.10303878784 5.31005859375
24.5590209961 6.0830116272 5.51390647888
25.3639221191 6.48307800293 5.45310974121
25.3000259399 6.08801841736 5.34200668335
25.4328250885 5.99217414856 5.58495521545
25.2931118011 6.05797767639 5.62500953674
24.9719619751 6.19220733643 5.59902191162
25.6109237671 6.06894493103 5.24997711182
25.4349708557 6.00719451904 5.54513931274
25.4371166229 6.27112388611 5.22184371948
25.6309509277 6.07800483704 5.5251121521
25.6080627441 6.48903846741 5.54418563843
24.1987705231 6.96682929993 5.72085380554
26.0109901428 6.09588623047 2.5999546051
24.81508255 5.95307350159 2.69484519958
24.7709751129 5.93304634094 2.47001647949
24.0230560303 6.08086585999 2.03084945679
24.297952652 6.11281394958 2.15005874634
19.7710990906 6.40106201172 1.86514854431
20.2729701996 5.85198402405 2.20203399658
23.0469703674 6.03103637695 2.0740032196
22.3770141602 5.93495368958 2.11405754089
19.6769237518 6.13307952881 2.32410430908
19.2401409149 6.02912902832 2.43401527405
22.8500366211 6.03103637695 2.16197967529
20.8439826965 6.11996650696 1.95407867432
24.2750644684 6.04605674744 2.01797485352
24.1370201111 6.16908073425 2.32100486755
22.3729610443 5.99193572998 2.2599697113
26.1490345001 6.15096092224 2.27689743042
22.4859714508 6.21509552002 2.16102600098
27.5020599365 6.14213943481 1.98602676392
24.2989063263 6.1731338501 2.16293334961
24.9409675598 6.04295730591 2.18105316162
25.533914566 5.95998764038 2.33602523804
27.2409915924 6.28399848938 2.00605392456
26.6931056976 6.01005554199 2.0968914032
25.1500606537 5.99503517151 1.91497802734
24.6789455414 6.05797767639 1.96003913879
26.3938903809 6.13403320312 1.7728805542
25.8531570435 6.19602203369 1.76811218262
24.8951911926 6.00910186768 1.87087059021
25.6428718567 6.1399936676 1.6930103302
22.2129821777 6.02912902832 1.86991691589
22.0539569855 6.10208511353 1.85799598694
22.3650932312 6.16812705994 1.90877914429
21.4869976044 6.13188743591 2.0170211792
22.1490859985 6.03604316711 1.79600715637
23.5149860382 6.08706474304 4.69207763672
24.3799686432 6.11400604248 4.6181678772
26.7729759216 6.05893135071 4.81009483337
28.8209915161 6.09111785889 5.04398345947
28.9311408997 6.21700286865 5.22804260254
22.6850509644 5.9859752655 5.18703460693
